neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
3274691,(2005 FC),24.5,0.0334622374,0.0748238376,Earth,27818.6149108053,40002412.184589422,False
3365921,(2007 AM),21.82,0.1149621763,0.257063241,Earth,83141.5371080904,48289866.118166169,False
3379718,(2007 NL1),21.22,0.1515496636,0.3388753497,Earth,36587.1930866986,61868384.329546877,False
2408980,408980 (2002 RB126),18.71,0.4814541966,1.0765643117,Earth,81627.9767819258,37769003.290806354,False
3092330,(2001 SY169),23.1,0.063760979,0.1425738833,Earth,33610.0833032381,73666306.93695163,False
3401381,(2008 CG),22.0,0.1058168859,0.2366137501,Earth,43563.4358941598,19013001.219164319,False
3629117,(2013 ET),23.1,0.063760979,0.1425738833,Earth,33607.428604851,73660041.972633261,False
3730580,(2015 TY237),21.58,0.1283970296,0.2871044863,Earth,31033.0854228712,56159522.342497992,True
3767244,(2017 BL31),19.1,0.4023045798,0.8995803882,Earth,111555.3620980037,17509684.249967848,False
3837780,(2019 AP8),24.5,0.0334622374,0.0748238376,Earth,12536.2359037052,29601415.593033688,False
3841977,(2019 KW),26.87,0.0112345318,0.0251211767,Earth,31042.5575354636,41381758.341383474,False
3314405,(2006 BX139),20.09,0.2550086879,0.5702167609,Earth,11063.4990020639,46537091.753666659,False
3547318,(2010 RH178),20.37,0.2241583786,0.5012333723,Earth,22041.8821537518,63695363.830220996,False
3662229,(2014 DR),21.2,0.1529519353,0.3420109247,Earth,91905.5333171455,49683854.71999859,False
54210931,(2021 UL),30.3,0.0023150212,0.0051765448,Earth,36238.4710092421,43251216.740675786,False
54276977,(2022 HH3),19.75,0.2982325052,0.6668681546,Earth,75588.081501339,30495548.942290489,False
2152828,152828 (1999 VT25),21.28,0.1474195145,0.3296400556,Earth,45729.6841880064,52416785.711900788,True
2494975,494975 (2009 WO106),19.18,0.3877528304,0.8670416872,Earth,68306.5927565258,37907208.564936078,True
3136724,(2002 RS129),22.89,0.0702352248,0.157050737,Earth,44707.0386296963,13699106.107309669,False
54104550,(2021 AP1),23.67,0.0490405098,0.1096579137,Earth,21906.3437922502,71397459.130553847,False
54422950,(2024 BC3),22.21,0.0960627415,0.2148028201,Earth,58608.4250754817,36747753.026101886,False
2381564,381564 (2008 UW5),18.25,0.5950520786,1.330576898,Earth,21273.200856707,21822011.135361811,False
2483432,483432 (2001 DF47),20.44,0.2170475943,0.4853331752,Earth,41135.359026686,24697911.854196641,True
3150194,(2003 DZ15),22.41,0.0876102615,0.1959025002,Earth,38826.566930507,19911587.274222735,False
3595776,(2012 AC11),21.94,0.1087814834,0.2432427915,Earth,39222.0801279626,42574593.518312683,False
3626687,(2013 CW87),25.8,0.0183888672,0.0411187571,Earth,11799.2340981485,11777844.060006537,False
3826667,(2018 PM9),23.0,0.0667659413,0.1492931834,Earth,33542.3410480778,71713739.740176558,False
3838186,(2019 CN2),28.4,0.0055533491,0.0124176661,Earth,21470.803924651,14651213.747438624,False
54301963,(2022 RS2),23.35,0.0568270323,0.1270691073,Earth,23386.4489944989,25941229.550427126,False
2275792,275792 (2001 QH142),18.41,0.5527833794,1.2360612132,Earth,55376.3604794828,72553948.682178271,False
3465683,(2009 PY),21.12,0.1586919792,0.3548460529,Earth,70209.612583529,46538004.04635728,False
3627115,(2013 DL1),21.23,0.1508533561,0.3373183589,Earth,69471.6239059117,66702340.7366907,False
3673982,(2014 MF18),26.11,0.0159424468,0.0356483948,Earth,20399.0544509206,31984291.727956672,False
3765915,(2016 XD1),19.2,0.3841978911,0.8590926012,Earth,26539.5619332174,56698857.714628933,False
3773050,(2017 FK102),20.63,0.1988634532,0.4446721997,Earth,66891.0972400254,47073303.686829657,False
3838846,(2019 DC1),23.0,0.0667659413,0.1492931834,Earth,108757.8261541332,63342180.567624555,False
3842637,(2019 KW3),21.86,0.1128638801,0.2523713081,Earth,14012.4967331518,45366131.300881395,False
2605911,605911 Cecily (2016 XD1),19.22,0.3806755436,0.8512163929,Earth,26539.435316992,56699699.696320654,False
2424969,424969 (2009 BT5),20.64,0.1979497587,0.4426291165,Earth,39941.2951588998,38449936.56244224,False
2477490,477490 (2010 CG18),20.59,0.2025606009,0.4529392731,Earth,14816.4737904694,63101465.447447511,False
3401191,(2008 BP16),21.8,0.1160259082,0.2594418179,Earth,115260.679400603,48890860.481425873,False
3989235,(2020 BF10),27.2,0.0096506147,0.0215794305,Earth,25832.7560992834,7587722.432953253,False
3991727,(2020 DA2),22.8,0.0732073989,0.1636967205,Earth,27475.4255911959,14244915.32726486,False
3125005,(2002 JQ9),19.24,0.3771854893,0.8434123941,Earth,42003.1876785077,68463438.158205104,True
3463161,(2009 LQ1),22.18,0.0973991073,0.217791025,Earth,22265.4670642713,72618758.383966678,False
3740929,(2016 BW14),25.8,0.0183888672,0.0411187571,Earth,66418.500010315,61218413.314105104,False
54167167,(2021 NO2),26.22,0.0151549664,0.033887535,Earth,76805.4867759997,60973529.619360936,False
3568329,(2011 MW1),22.35,0.0900647767,0.2013909631,Earth,39750.6521761596,15123817.92289973,False
3621023,(2012 XO134),24.0,0.0421264611,0.0941976306,Earth,35555.8869401352,52709952.59790064,False
3656924,(2014 BQ8),21.41,0.138852907,0.310484539,Earth,54761.3522023144,28487552.249050046,False
3774433,(2017 JB),23.68,0.0488151892,0.1091540813,Earth,15901.208111185,69658364.399201386,False
3968759,(2020 AB),26.0,0.0167708462,0.0375007522,Earth,64218.8720735024,57976190.421027899,False
3986832,(2020 BT2),23.67,0.0490405098,0.1096579137,Earth,89917.2902808014,67948758.983415018,False
2140039,140039 (2001 SO73),18.08,0.6435095206,1.4389310323,Earth,106453.0869492776,74787549.719465567,True
3616697,(2012 VN6),21.36,0.1420872067,0.317716653,Earth,71327.5830684421,55774305.852556108,False
3628123,(2013 DA15),20.48,0.2130860292,0.4764748465,Earth,57914.6902994509,72145663.123577723,False
3678630,(2014 OL339),22.78,0.0738847787,0.1652113876,Earth,49824.9458212752,60373430.823749987,False
3739011,(2015 YU7),21.37,0.1414343753,0.3162568776,Earth,32927.8296949722,27991071.580346525,True
3989280,(2020 BQ12),24.5,0.0334622374,0.0748238376,Earth,36738.0491407067,14801669.007710955,False
54341445,(2023 BE10),21.83,0.1144339731,0.2558821427,Earth,40831.9328875738,12406761.224736629,False
2303262,303262 (2004 RJ84),18.66,0.4926687055,1.1016407159,Earth,40408.9077076391,32441604.951612959,False
3742342,(2016 CL136),21.36,0.1420872067,0.317716653,Earth,92214.2461809838,35135887.947151924,True
3795140,(2017 YT7),18.78,0.4661814374,1.0424133839,Earth,88794.6558775477,73634924.116265586,False
2162385,162385 (2000 BM19),18.61,0.5041444339,1.1273012246,Earth,23897.0466580523,16991267.806229635,False
2480984,480984 (2003 YR70),20.15,0.2480589932,0.5546767711,Earth,42183.8908019665,45220607.549353401,False
3358223,(2006 VY2),22.75,0.0749126183,0.1675097069,Earth,36717.0973187976,59791257.98186625,False
3651205,(2013 UB),26.6,0.0127219879,0.0284472297,Earth,48283.7688635558,58546065.704646369,False
3699951,(2014 WO371),22.45,0.086011194,0.1923268766,Earth,29685.6691618044,39032998.913260997,False
3766676,(2017 BO3),21.2,0.1529519353,0.3420109247,Earth,71138.1490145352,45483100.708571009,False
3989193,(2020 BO8),23.7,0.0483676488,0.1081533507,Earth,58151.8966516405,18964817.510492185,False
2020790,20790 (2000 SE45),16.64,1.2489785407,2.7928009194,Earth,24186.5311864738,41820960.080034175,False
2138404,138404 (2000 HA24),19.4,0.3503926411,0.7835017643,Earth,29531.2851530344,29691744.417556471,True
2481532,481532 (2007 LE),19.62,0.3166321257,0.708010957,Earth,74321.5865408294,66912510.574816682,True
3605335,(2012 KF47),21.07,0.1623883902,0.3631114793,Earth,32806.2195999303,26282826.517831215,False
3838941,(2017 RE110),22.45,0.086011194,0.1923268766,Earth,26113.3236276132,68835586.376615268,False
2436037,436037 (2009 NJ),18.69,0.4859090375,1.0865256386,Earth,77331.8171556587,15509242.32396134,False
